CRN,Course_Code,Course_Name,Instructor,Day,Time,Room_ID,Room_Type,Capacity,Enrolled,Status
31632,CS237,Course 1,Dr. Ahmed Al-Ghamdi,Thursday,09:30-10:45,3390,Lecture,85,57,Normal
82385,CS532,Course 2,Dr. Mohammad Al-Otaibi,Monday,11:00-12:15,4921,Lab,75,53,Overcrowded
96616,CS394,Course 3,Dr. Khalid Al-Shamri,Thursday,11:00-12:15,2853,Lecture,88,34,Normal
97697,CS650,Course 4,Dr. Abdullah Al-Dosari,Monday,14:00-15:15,8456,Lab,76,24,Underutilized
28068,CS214,Course 5,Dr. Sultan Al-Zahrani,Monday,12:30-13:45,5163,Lab,85,62,Normal
48000,CS814,Course 6,Dr. Faisal Al-Harthi,Monday,08:00-09:15,5772,Lab,73,59,Overcrowded
22558,CS229,Course 7,Dr. Nasser Al-Qahtani,Thursday,11:00-12:15,7026,Lab,71,79,Normal
49877,CS424,Course 8,Dr. Omar Al-Subai'i,Tuesday,11:00-12:15,6470,Lab,63,83,Underutilized
15997,CS452,Course 9,Dr. Turki Al-Buqami,Wednesday,14:00-15:15,8062,Lab,54,56,Normal
12189,CS383,Course 10,Dr. Rashid Al-Rashidi,Wednesday,08:00-09:15,9632,Lecture,78,30,Normal
15701,CS186,Course 11,Dr. Salah Al-Asmari,Thursday,11:00-12:15,3881,Lecture,64,93,Overcrowded
50827,CS272,Course 12,Dr. Hamad Al-Anzi,Tuesday,09:30-10:45,5158,Lab,70,98,Normal
73057,CS854,Course 13,Dr. Yousef Al-Shahri,Wednesday,09:30-10:45,4556,Lecture,33,95,Underutilized
17980,CS328,Course 14,Dr. Ibrahim Al-Qarni,Tuesday,09:30-10:45,8956,Lecture,79,48,Normal
83269,CS269,Course 15,Dr. Abdul-Aziz Al-Muzrou,Monday,08:00-09:15,5738,Lecture,42,46,Normal
33993,CS484,Course 16,Dr. Mohammad Al-Jahni,Monday,08:00-09:15,5129,Lecture,78,99,Normal
89020,CS391,Course 17,Dr. Saad Al-Tamimi,Thursday,12:30-13:45,5005,Lab,45,65,Underutilized
97114,CS593,Course 18,Dr. Walid Al-Harbi,Thursday,09:30-10:45,8197,Lecture,89,43,Normal
58811,CS426,Course 19,Dr. Ayman Al-Ghamdi,Wednesday,14:00-15:15,9153,Lecture,23,82,Underutilized
28966,CS519,Course 20,Dr. Nawaf Al-Mutairi,Sunday,14:00-15:15,6711,Lab,59,68,Normal
48101,CS779,Course 21,Dr. Majid Al-Salmi,Wednesday,14:00-15:15,3448,Lab,65,72,Normal
24562,CS593,Course 22,Dr. Fahad Al-Omari,Sunday,12:30-13:45,4412,Lecture,36,51,Normal
64402,CS768,Course 23,Dr. Ryan Al-Zaid,Monday,09:30-10:45,4173,Lab,41,51,Underutilized
77678,CS533,Course 24,Dr. Tariq Al-Asiri,Monday,11:00-12:15,2396,Lab,95,99,Normal
30858,CS520,Course 25,Dr. Badr Al-Ghamdi,Thursday,14:00-15:15,5761,Lecture,49,69,Normal
57302,CS198,Course 26,Dr. Anas Al-Rifa'i,Thursday,11:00-12:15,7725,Lecture,44,99,Normal
80389,CS851,Course 27,Dr. Jasim Al-Mansour,Wednesday,09:30-10:45,7149,Lab,88,96,Underutilized
74672,CS841,Course 28,Dr. Hussein Al-Ali,Monday,08:00-09:15,3957,Lecture,95,10,Normal
46040,CS304,Course 29,Dr. Karim Al-Sayed,Tuesday,14:00-15:15,9266,Lecture,77,38,Normal
59770,CS780,Course 30,Dr. Ali Al-Zamel,Sunday,08:00-09:15,9718,Lecture,74,96,Normal
89924,CS226,Course 31,Dr. Sami Al-Bishi,Wednesday,12:30-13:45,6569,Lecture,88,70,Overcrowded
15857,CS198,Course 32,Dr. Wael Al-Aqeel,Wednesday,14:00-15:15,9933,Lecture,49,59,Underutilized
59203,CS591,Course 33,Dr. Khalil Al-Khalidi,Wednesday,09:30-10:45,7458,Lecture,55,70,Normal
79287,CS241,Course 34,Dr. Adel Al-Qasim,Tuesday,08:00-09:15,8428,Lab,64,63,Normal
65669,CS959,Course 35,Dr. Mustafa Al-Rashid,Sunday,08:00-09:15,2775,Lecture,47,97,Underutilized
97107,CS607,Course 36,Dr. Fares Al-Omari,Sunday,12:30-13:45,6519,Lecture,56,45,Normal
48492,CS218,Course 37,Dr. Hani Al-Shafi'i,Wednesday,12:30-13:45,8113,Lecture,94,98,Normal
