CRN,Course_Code,Course_Name,Instructor,Day,Time,Room_ID,Room_Type,Capacity,Enrolled,Status
20001,CS101,Introduction to Programming,Ali,Sun,08:00-09:30,1001,Classroom,50,44,normal
20002,CS102,Discrete Mathematics,Sara,Sun,10:00-11:30,1001,Classroom,50,41,normal
20003,CS103,Computer Architecture,Omar,Mon,12:00-13:30,1001,Classroom,50,38,normal
20004,CS104,Data Structures,Hassan,Tue,14:00-15:30,1001,Classroom,50,46,normal
20005,CS105,Operating Systems,Mona,Sun,08:00-09:30,1002,Classroom,45,34,normal
20006,CS106,Algorithms,Fahad,Mon,10:00-11:30,1002,Classroom,45,36,normal
20007,CS107,Database Systems,Nora,Tue,12:00-13:30,1002,Classroom,45,29,normal
20008,CS108,Software Engineering,Lina,Wed,14:00-15:30,1002,Classroom,45,33,normal
20009,CS109,Computer Networks,Ali,Sun,10:00-11:30,1003,Classroom,55,43,normal
20010,CS110,Machine Learning,Sara,Mon,12:00-13:30,1003,Classroom,55,48,normal
20011,CS111,Web Development,Omar,Tue,14:00-15:30,1003,Classroom,55,40,normal
20012,CS112,Cloud Computing,Hassan,Thu,08:00-09:30,1003,Classroom,55,37,normal
20013,CS113,Cybersecurity Fundamentals,Mona,Sun,12:00-13:30,1004,Classroom,48,35,normal
20014,CS114,Human-Computer Interaction,Fahad,Mon,14:00-15:30,1004,Classroom,48,31,normal
20015,CS115,Information Security,Nora,Tue,08:00-09:30,1004,Classroom,48,39,normal
20016,CS116,Data Mining,Lina,Wed,10:00-11:30,1004,Classroom,48,42,normal
20017,CS117,Linear Algebra for CS,Ali,Sun,14:00-15:30,1005,Classroom,52,45,normal
20018,CS118,Probability and Statistics,Sara,Mon,08:00-09:30,1005,Classroom,52,33,normal
20019,CS119,Compiler Design,Omar,Tue,10:00-11:30,1005,Classroom,52,47,normal
20020,CS120,Mobile App Development,Hassan,Thu,12:00-13:30,1005,Classroom,52,40,normal
20021,CS121,Artificial Intelligence,Mona,Sun,08:00-09:30,1006,Classroom,46,44,normal
20022,CS122,Advanced Databases,Fahad,Mon,10:00-11:30,1006,Classroom,46,32,normal
20023,CS123,Computer Graphics,Nora,Tue,12:00-13:30,1006,Classroom,46,37,normal
20024,CS124,Embedded Systems,Lina,Wed,14:00-15:30,1006,Classroom,46,30,normal
20025,CS125,Information Retrieval,Ali,Sun,10:00-11:30,1007,Classroom,44,29,normal
20026,CS126,Natural Language Processing,Sara,Mon,12:00-13:30,1007,Classroom,44,34,normal
20027,CS127,Distributed Systems,Omar,Tue,14:00-15:30,1007,Classroom,44,38,normal
20028,CS128,Digital Logic Design,Hassan,Thu,08:00-09:30,1007,Classroom,44,31,normal
20029,CS129,Big Data Analytics,Mona,Sun,12:00-13:30,1008,Classroom,60,49,normal
20030,CS130,Programming Languages,Fahad,Mon,14:00-15:30,1008,Classroom,60,45,normal
20031,CS131,Advanced Algorithms,Nora,Tue,08:00-09:30,1008,Classroom,60,52,normal
20032,CS132,System Administration,Lina,Wed,10:00-11:30,1008,Classroom,60,41,normal
