CRN,Course_Code,Course_Name,Instructor,Day,Time,Room_ID,Room_Type,Capacity,Enrolled,Status
43001,CS201,Programming II,Ali,Sun,08:00-09:30,1001,Classroom,1,35,Overcrowded
43002,CS202,Data Structures,Sara,Sun,10:00-11:30,1001,Classroom,1,57,Overcrowded
43003,CS203,Computer Organization,Omar,Sun,12:00-13:30,1002,Classroom,1,12,Overcrowded
43004,CS204,Operating Systems,Hassan,Sun,14:00-15:30,1002,Classroom,1,38,Overcrowded
43005,CS205,Database Systems,Mona,Mon,08:00-09:30,1003,Classroom,1,49,Overcrowded
43006,CS206,Computer Networks,Fahad,Mon,10:00-11:30,1003,Classroom,1,38,Overcrowded
43007,CS207,Software Engineering,Nora,Mon,12:00-13:30,1004,Classroom,1,36,Overcrowded
43008,CS208,Web Development,Lina,Mon,14:00-15:30,1004,Classroom,1,55,Overcrowded
43009,CS209,AI Fundamentals,Yousef,Tue,08:00-09:30,1005,Classroom,1,44,Overcrowded
43010,CS210,Information Security,Aisha,Tue,10:00-11:30,1005,Classroom,1,14,Overcrowded
43011,CS211,Cloud Computing,Khaled,Tue,12:00-13:30,1006,Classroom,1,32,Overcrowded
43012,CS212,HCI,Rana,Tue,14:00-15:30,1006,Classroom,1,34,Overcrowded
43013,CS213,Machine Learning,Nader,Wed,08:00-09:30,1007,Classroom,1,35,Overcrowded
43014,CS214,Digital Ethics,Noor,Wed,10:00-11:30,1007,Classroom,1,37,Overcrowded
43015,CS215,Mobile Development,Salem,Wed,12:00-13:30,1008,Classroom,1,69,Overcrowded
43016,CS216,Data Mining,Amal,Wed,14:00-15:30,1008,Classroom,1,42,Overcrowded
43017,CS217,Parallel Computing,Ali,Thu,08:00-09:30,1009,Classroom,1,16,Overcrowded
43018,CS218,System Analysis,Sara,Thu,10:00-11:30,1009,Classroom,1,46,Overcrowded
43019,CS219,Distributed Systems,Omar,Thu,12:00-13:30,1010,Classroom,1,34,Overcrowded
43020,CS220,UI/UX Design,Hassan,Thu,14:00-15:30,1010,Classroom,1,36,Overcrowded
43021,CS221,Programming II,Ali,Sun,08:00-09:30,2001,Classroom,2,35,Overcrowded
43022,CS222,Data Structures,Sara,Sun,10:00-11:30,2001,Classroom,2,57,Overcrowded
43023,CS223,Computer Organization,Omar,Sun,12:00-13:30,2002,Classroom,2,36,Overcrowded
43024,CS224,Operating Systems,Hassan,Sun,14:00-15:30,2002,Classroom,2,12,Overcrowded
43025,CS225,Database Systems,Mona,Mon,08:00-09:30,2003,Classroom,2,49,Overcrowded
43026,CS226,Computer Networks,Fahad,Mon,10:00-11:30,2003,Classroom,2,38,Overcrowded
43027,CS227,Software Engineering,Nora,Mon,12:00-13:30,2004,Classroom,2,36,Overcrowded
43028,CS228,Web Development,Lina,Mon,14:00-15:30,2004,Classroom,2,38,Overcrowded
43029,CS229,AI Fundamentals,Yousef,Tue,08:00-09:30,2005,Classroom,2,44,Overcrowded
43030,CS230,Information Security,Aisha,Tue,10:00-11:30,2005,Classroom,2,47,Overcrowded
43031,CS231,Cloud Computing,Khaled,Tue,12:00-13:30,2006,Classroom,2,32,Overcrowded
43032,CS232,HCI,Rana,Tue,14:00-15:30,2006,Classroom,2,34,Overcrowded
43033,CS233,Machine Learning,Nader,Wed,08:00-09:30,2007,Classroom,2,50,Overcrowded
43034,CS234,Digital Ethics,Noor,Wed,10:00-11:30,2007,Classroom,2,37,Overcrowded
